source_account,target_account,amount,date,description
ACC-001,ACC-002,8500,2024-09-01T10:15:00,Transfer
ACC-002,ACC-003,7200,2024-09-02T14:22:00,Payment
ACC-003,ACC-004,6800,2024-09-03T09:45:00,Settlement
ACC-004,ACC-008,6500,2024-09-04T11:33:00,Transfer
ACC-001,ACC-005,9200,2024-09-05T15:18:00,Payment
ACC-005,ACC-006,8900,2024-09-06T10:52:00,Transfer
ACC-006,ACC-007,8400,2024-09-07T13:27:00,Settlement
ACC-007,ACC-008,7800,2024-09-08T16:41:00,Payment
ACC-001,ACC-010,9800,2024-09-10T09:22:00,Transfer
ACC-010,ACC-011,9500,2024-09-11T14:15:00,Payment
ACC-011,ACC-012,9200,2024-09-12T11:38:00,Settlement
ACC-012,ACC-009,8700,2024-09-13T15:55:00,Transfer
